Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1p","C_0603_1608Metric",154.450000,-134.900000,0.000000,top
"C2","1p","C_0603_1608Metric",140.700000,-134.900000,0.000000,top
"D1","GREEN","LED_0603_1608Metric",138.430000,-146.558000,90.000000,top
"D2","GREEN","LED_0603_1608Metric",140.970000,-146.558000,90.000000,top
"D3","GREEN","LED_0603_1608Metric",143.510000,-146.558000,90.000000,top
"D4","GREEN","LED_0603_1608Metric",146.050000,-146.558000,90.000000,top
"D5","RED","LED_0603_1608Metric",148.590000,-146.558000,90.000000,top
"D6","RED","LED_0603_1608Metric",151.130000,-146.558000,90.000000,top
"D7","RED","LED_0603_1608Metric",153.670000,-146.558000,90.000000,top
"D8","RED","LED_0603_1608Metric",156.210000,-146.558000,90.000000,top
"J1","Conn_01x10_Female","PinHeader_1x08_P2.54mm_Horizontal",138.430000,-118.364000,90.000000,top
"J2","Conn_01x10_Female","PinHeader_1x10_P2.54mm_Horizontal",158.750000,-150.876000,-90.000000,top
"J3","Conn_01x06_Female","Molex-54550-0671-Manufacturer_Recommended",155.260002,-140.176999,90.000000,top
"J4","Conn_01x06_Female","Molex-54550-0671-Manufacturer_Recommended",139.633998,-140.208000,-90.000000,top
"R1","1k5","R_0402_1005Metric",137.100000,-147.040000,90.000000,top
"R2","1k5","R_0402_1005Metric",139.640000,-147.038000,90.000000,top
"R3","1k5","R_0402_1005Metric",142.180000,-147.040000,90.000000,top
"R4","1k5","R_0402_1005Metric",144.720000,-147.040000,90.000000,top
"R5","1k5","R_0402_1005Metric",147.260000,-147.040000,90.000000,top
"R6","1k5","R_0402_1005Metric",149.800000,-147.040000,90.000000,top
"R7","1k5","R_0402_1005Metric",152.340000,-147.038000,90.000000,top
"R8","1k5","R_0402_1005Metric",154.880000,-147.040000,90.000000,top
"R9","1k5","R_0402_1005Metric",137.850000,-134.800000,90.000000,top
"R10","1k5","R_0402_1005Metric",136.800000,-134.800000,-90.000000,top
"R11","1k","R_0402_1005Metric",137.668000,-124.968000,90.000000,top
"R12","1k","R_0402_1005Metric",137.668000,-127.508000,90.000000,top
"R13","1k","R_0402_1005Metric",137.668000,-130.048000,90.000000,top
"R14","1k","R_0402_1005Metric",138.684000,-132.842000,90.000000,top
"R15","1k","R_0402_1005Metric",138.684000,-130.048000,90.000000,top
"R16","1k","R_0402_1005Metric",138.684000,-124.968000,90.000000,top
"R17","1k","R_0402_1005Metric",138.684000,-127.508000,90.000000,top
"R18","1k","R_0402_1005Metric",137.668000,-132.842000,90.000000,top
"R19","1k","R_0402_1005Metric",157.480000,-124.714000,90.000000,top
"R20","1k","R_0402_1005Metric",156.464000,-124.714000,90.000000,top
"R21","1k","R_0402_1005Metric",156.464000,-127.254000,90.000000,top
"R22","1k","R_0402_1005Metric",156.464000,-132.334000,90.000000,top
"R23","1k","R_0402_1005Metric",157.480000,-132.334000,90.000000,top
"R24","1k","R_0402_1005Metric",157.480000,-127.254000,90.000000,top
"R25","1k","R_0402_1005Metric",157.480000,-129.794000,90.000000,top
"R26","1k","R_0402_1005Metric",156.464000,-129.794000,90.000000,top
"U1","ATtiny828-A","TQFP-32_7x7mm_P0.8mm",147.574000,-139.446000,90.000000,top
"U2","HDSP-A151","HDSP-A151",140.788500,-122.174000,0.000000,top
"U3","HDSP-A151","HDSP-A151",149.098000,-122.174000,0.000000,top
